"unique.mun.NO_MUNICIPIO..x","unique.mun.CO_MUNICIPIO.","unique.mun.SG_UF..x","sum.mun.QT_MAT_ID..2.x","unique.mun.NO_MUNICIPIO..y","unique.mun.SG_UF..y","sum.mun.QT_MAT_ID..2.y","unique.mun.NO_MUNICIPIO..x.x","unique.mun.SG_UF..x.x","sum.mun.QT_MAT_ID..2.x.x","unique.mun.NO_MUNICIPIO..y.y","unique.mun.SG_UF..y.y","sum.mun.QT_MAT_ID..2.y.y","unique.mun.NO_MUNICIPIO..x.x.x","unique.mun.SG_UF..x.x.x","sum.mun.QT_MAT_ID..2.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y","unique.mun.SG_UF..y.y.y","sum.mun.QT_MAT_ID..2.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x","unique.mun.SG_UF..x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y","unique.mun.SG_UF..y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y.y.y"
"Mafra",4210100,"SC",0.169111422603342,"Mafra","SC",0.205775573028923,"Mafra","SC",0.191442161220268,"Mafra","SC",0.205554556265517,"Mafra","SC",0.246830966759153,"Mafra","SC",0.230639293241286,"Mafra","SC",0.252674119672181,"Mafra","SC",0.291745566092166,"Mafra","SC",0.283755440197158,"Mafra","SC",0.288714232942748,"Mafra","SC",0.28325962707218,"Mafra","SC",0.313830220949426,"Mafra","SC",0.319584934645819,"Mafra","SC",0.229472411017747,"Mafra","SC",0.290952053335954,"Mafra","SC",0.630402149667655
"São Miguel do Oeste",4217204,"SC",0.266412600727419,"São Miguel do Oeste","SC",0.32519901806067,"São Miguel do Oeste","SC",0.333204095729337,"São Miguel do Oeste","SC",0.267018810555895,"São Miguel do Oeste","SC",0.312748248866914,"São Miguel do Oeste","SC",0.373621075569758,"São Miguel do Oeste","SC",0.393803166530439,"São Miguel do Oeste","SC",0.403102228094163,"São Miguel do Oeste","SC",0.399206352936384,"São Miguel do Oeste","SC",0.379736967128645,"São Miguel do Oeste","SC",0.363511361991605,"São Miguel do Oeste","SC",0.381822151014744,"São Miguel do Oeste","SC",0.343213165216362,"São Miguel do Oeste","SC",0.563244959726291,"São Miguel do Oeste","SC",0.684179318651578,"São Miguel do Oeste","SC",0.636352668377316
"Abdon Batista",4200051,"SC",0.34218637287691,"Abdon Batista","SC",0.253588516746412,"Abdon Batista","SC",0.309628586516458,"Abdon Batista","SC",0.243469174503657,"Abdon Batista","SC",0.27540500736377,"Abdon Batista","SC",0.23467392228552,"Abdon Batista","SC",0.167289719626168,"Abdon Batista","SC",0.23735595390525,"Abdon Batista","SC",0.192097654995181,"Abdon Batista","SC",0.0524956970740103,"Abdon Batista","SC",0.35690440060698,"Abdon Batista","SC",0.178978978978979,"Abdon Batista","SC",0.219079312257349,"Abdon Batista","SC",0.0853552859618718,"Abdon Batista","SC",0.388415672913118,"Abdon Batista","SC",0.80952380952381
"Içara",4207007,"SC",0.17814630047333,"Içara","SC",0.217770484840179,"Içara","SC",0.218067587566578,"Içara","SC",0.22947902081874,"Içara","SC",0.275596726605439,"Içara","SC",0.300743305162407,"Içara","SC",0.349944224344636,"Içara","SC",0.343003506465045,"Içara","SC",0.312024181418489,"Içara","SC",0.359691319449491,"Içara","SC",0.433803945600679,"Içara","SC",0.454620074797874,"Içara","SC",0.454349250880541,"Içara","SC",0.485746149625257,"Içara","SC",0.617027623038819,"Içara","SC",0.755684368049062
"Ibirama",4206900,"SC",0.221573713791613,"Ibirama","SC",0.29253473428676,"Ibirama","SC",0.223804049330478,"Ibirama","SC",0.269588371076723,"Ibirama","SC",0.204538633792737,"Ibirama","SC",0.19643650516064,"Ibirama","SC",0.225013321291488,"Ibirama","SC",0.219757923709616,"Ibirama","SC",0.259205811912441,"Ibirama","SC",0.292106296152863,"Ibirama","SC",0.31657224399992,"Ibirama","SC",0.29307767435371,"Ibirama","SC",0.34301692207132,"Ibirama","SC",0.339922279792746,"Ibirama","SC",0.414435383330855,"Ibirama","SC",0.376484694230902
"Siderópolis",4217600,"SC",0.260633484162896,"Siderópolis","SC",0.176232242724218,"Siderópolis","SC",0.199855072463768,"Siderópolis","SC",0.202617886906093,"Siderópolis","SC",0.232057335581788,"Siderópolis","SC",0.369386751409223,"Siderópolis","SC",0.263023548094816,"Siderópolis","SC",0.454922872761362,"Siderópolis","SC",0.419070512820513,"Siderópolis","SC",0.345942857142857,"Siderópolis","SC",0.310991994822662,"Siderópolis","SC",0.374638109765589,"Siderópolis","SC",0.625042822884549,"Siderópolis","SC",0.561586973970875,"Siderópolis","SC",0.40339535372648,"Siderópolis","SC",0.875771922601894
"Treviso",4218350,"SC",0.222222222222222,"Treviso","SC",0.209895052473763,"Treviso","SC",0.17527764365041,"Treviso","SC",0.133821321321321,"Treviso","SC",0.117618350414836,"Treviso","SC",0.270423125261835,"Treviso","SC",0.344213649851632,"Treviso","SC",0.313385826771653,"Treviso","SC",0.400273925697655,"Treviso","SC",0.280542986425339,"Treviso","SC",0.369760479041916,"Treviso","SC",0.247889374090247,"Treviso","SC",0.347639484978541,"Treviso","SC",0.314037626628075,"Treviso","SC",0.977839335180055,"Treviso","SC",NA
"São Francisco do Sul",4216206,"SC",0.190440747301965,"São Francisco do Sul","SC",0.192556502443671,"São Francisco do Sul","SC",0.213205436465978,"São Francisco do Sul","SC",0.235434161289372,"São Francisco do Sul","SC",0.300019021222249,"São Francisco do Sul","SC",0.273911694791179,"São Francisco do Sul","SC",0.245642526285603,"São Francisco do Sul","SC",0.29697495145505,"São Francisco do Sul","SC",0.356160788529478,"São Francisco do Sul","SC",0.34641217610993,"São Francisco do Sul","SC",0.325702278257023,"São Francisco do Sul","SC",0.343476132190942,"São Francisco do Sul","SC",0.476284206885895,"São Francisco do Sul","SC",0.382092384519351,"São Francisco do Sul","SC",0.400482240728878,"São Francisco do Sul","SC",0.646120014389658
"Indaial",4207502,"SC",0.178510586619317,"Indaial","SC",0.171263594464685,"Indaial","SC",0.208822196628731,"Indaial","SC",0.224213127713058,"Indaial","SC",0.277312536729556,"Indaial","SC",0.249890422624729,"Indaial","SC",0.271639440890195,"Indaial","SC",0.289071293632875,"Indaial","SC",0.267185424966799,"Indaial","SC",0.258180097062171,"Indaial","SC",0.245674125945096,"Indaial","SC",0.274812227801915,"Indaial","SC",0.333047455688965,"Indaial","SC",0.369138119818552,"Indaial","SC",0.427134107027724,"Indaial","SC",0.691777813530689
"Balneário Rincão",4220000,"SC",0.129647151003995,"Balneário Rincão","SC",0.175706840944182,"Balneário Rincão","SC",0.254617656862407,"Balneário Rincão","SC",0.304382470119522,"Balneário Rincão","SC",0.276471539456662,"Balneário Rincão","SC",0.291887248072815,"Balneário Rincão","SC",0.255776986372654,"Balneário Rincão","SC",0.330142013722674,"Balneário Rincão","SC",0.272234077725346,"Balneário Rincão","SC",0.250593005575266,"Balneário Rincão","SC",0.152785145888594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
